"Title,SOC Code"",""2014"",""2024"",""Number (inthousands)"",""Percent"",""Jobopeningsdue togrowthandreplacementneeds,2014-2024(in thousands)"",""2014 median annual wage"",""Typical entry-level education"",""Education Code"",""Work experience in a related occupation"",""Workex Code"",""Typical on-the-job training"",""trCode"""""
"Accountants and auditors,""Show/hide Example Job Titles"",""Account Auditor* Accountant* Auditor* Auditor-in-charge* Cpa* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,""13-2011"",""1,332.7"",""1,475.1"",""142.4"",""10.7"",""498.0"",""65,940"",""Bachelor's degree"",""3"",""None"",""4"",""None"",""6"""""
"Actors,""Show/hide Example Job Titles"",""Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-over Artist,""27-2011"",""69.4"",""76.1"",""6.6"",""9.6"",""34.0"",""N/A"",""Some college, no degree"",""6"",""None"",""4"",""Long-term on-the-job training"",""3"""""
"Actuaries,""Show/hide Example Job Titles"",""Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,""15-2011"",""24.6"",""29.0"",""4.4"",""18.1"",""11.7"",""96,700"",""Bachelor's degree"",""3"",""None"",""4"",""Long-term on-the-job training"",""3"""""
"Adhesive bonding machine operators and tenders,""Show/hide Example Job Titles"",""Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator,""51-9191"",""18.4"",""17.1"",""-1.2"",""-6.8"",""4.8"",""31,340"",""High school diploma or equivalent"",""7"",""None"",""4"",""Moderate-term on-the-job training"",""4"""""
"Administrative law judges, adjudicators, and hearing officers,""Show/hide Example Job Titles"",""Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice Of The Peace* Traffic Court Referee,""23-1021"",""15.0"",""14.5"",""-0.5"",""-3.6"",""2.2"",""87,980"",""Doctoral or professional degree"",""1"",""5 years or more"",""1"",""Short-term on-the-job training"",""5"""""
"Administrative services managers,""Show/hide Example Job Titles"",""Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records And Information Manager,""11-3011"",""287.3"",""310.8"",""23.5"",""8.2"",""77.2"",""83,790"",""Bachelor's degree"",""3"",""Less than 5 years"",""2"",""None"",""6"""""
"Adult basic and secondary education and literacy teachers and instructors,""Show/hide Example Job Titles"",""Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* Ged Instructor* General Educational Development (ged) Teacher* General Educational Development Teacher,""25-3011"",""77.5"",""83.0"",""5.5"",""7.1"",""20.1"",""49,590"",""Bachelor's degree"",""3"",""None"",""4"",""Internship/residency"",""1"""""
"Advertising and promotions managers,""Show/hide Example Job Titles"",""Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* Vp Advertising* Vp Promotions,""11-2011"",""31.0"",""32.4"",""1.5"",""4.7"",""11.4"",""96,720"",""Bachelor's degree"",""3"",""Less than 5 years"",""2"",""None"",""6"""""
"Advertising sales agents,""Show/hide Example Job Titles"",""Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs And Displays Salesperson* Yellow Pages Space Salesperson,""41-3011"",""167.9"",""163.4"",""-4.5"",""-2.7"",""49.8"",""47,890"",""High school diploma or equivalent"",""7"",""None"",""4"",""Moderate-term on-the-job training"",""4"""""
"Aerospace engineering and operations technicians,""Show/hide Example Job Titles"",""Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,""17-3021"",""11.4"",""11.8"",""0.4"",""3.6"",""3.2"",""63,780"",""Associate's degree"",""4"",""None"",""4"",""None"",""6"""""
"Aerospace engineers,""Show/hide Example Job Titles"",""Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,""17-2011"",""72.5"",""70.8"",""-1.6"",""-2.3"",""20.7"",""105,380"",""Bachelor's degree"",""3"",""None"",""4"",""None"",""6"""""
"Agents and business managers of artists, performers, and athletes,""Show/hide Example Job Titles"",""Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent,""13-1011"",""19.7"",""20.2"",""0.5"",""2.5"",""6.8"",""64,200"",""Bachelor's degree"",""3"",""Less than 5 years"",""2"",""None"",""6"""""
"Agricultural and food science technicians,""Show/hide Example Job Titles"",""Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician,""19-4011"",""33.0"",""34.7"",""1.6"",""4.9"",""12.4"",""35,140"",""Associate's degree"",""4"",""None"",""4"",""Moderate-term on-the-job training"",""4"""""
"Agricultural engineers,""Show/hide Example Job Titles"",""Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,""17-2021"",""2.9"",""3.0"",""0.1"",""4.4"",""0.7"",""71,730"",""Bachelor's degree"",""3"",""None"",""4"",""None"",""6"""""
"Agricultural equipment operators,""Show/hide Example Job Titles"",""Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver,""45-2091"",""57.8"",""60.9"",""3.1"",""5.4"",""18.5"",""26,910"",""No formal educational credential"",""8"",""None"",""4"",""Short-term on-the-job training"",""5"""""
"Agricultural inspectors,""Show/hide Example Job Titles"",""Cattle Examiner* Cattle Inspector* Grain Sampler* Meat And Poultry Inspector* Milk Tester* Wheat Inspector,""45-2011"",""14.2"",""14.1"",""-0.1"",""-0.6"",""3.6"",""43,090"",""Bachelor's degree"",""3"",""None"",""4"",""Moderate-term on-the-job training"",""4"""""
"Agricultural sciences teachers, postsecondary,""Show/hide Example Job Titles"",""Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture And Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor,""25-1041"",""12.1"",""12.8"",""0.7"",""6.0"",""2.9"",""86,260"",""Doctoral or professional degree"",""1"",""None"",""4"",""None"",""6"""""
